Timestamp,Gender,Age,Education,Current occupation ,What is your latest job and position before retired? __________,Marital status ,Children ,Grandchildren ,Household income per month ,Where do you live?,Do you use social media?,"
 What type of social media do you use?",What kind of communication tools do you use?,What do you do in free-time?,An average hour spent on social media per day,"I use social media to contact with
family, cousin, friends.",I use social media to update news,"I use social media to read product
review",I use social media to update trend,I use social media for work,"I post my personal story/photo on
social media such as Facebook","I interact with what friend share on
social media","Social media help me to contact with
family easily","Social media help me to contact with
friends easily","Social media help me to connect with
old friends",Social media can connect the world,"Social media can reduce gap in
family among different generations","I don't feel alone anymore when I use
social media","It is convenience to update news
through social media","It is faster to update news from social
media rather than traditional media","Social media help to save cost for
communication than using normal
phone call",I find social media useful for my job,I feel safe when I use social media,I think social media is easy to use,"I think message that people share on
social media is useful","I always find second source of
information to support before I share
anything on social media","I believe in letter chain when people
share on social media"
4/1/2025 11:04:28,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone",Reading book,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/1/2025 11:05:15,Male,60-70 years old,High school,Full-time employed,,Live with family,2,3,"30,001-50,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Reading book,6,1,4,3,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2
4/1/2025 11:07:52,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,4 or above,2,"30,001-50,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone",Reading book,8,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
4/1/2025 11:08:45,Male,60-70 years old,High school,Full-time employed,,Live with family,3,4 or above,"30,001-50,000",India,Yes,"Facebook, Instagram",Normal phone (Can only call and SMS),Exercising,5,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/1/2025 11:09:46,Male,60-70 years old,High school,Full-time employed,,Live with family,3,3,"50,001-100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone, Computer",Shopping,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
4/1/2025 11:10:49,Male,60-70 years old,High school,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone",Reading book,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/1/2025 11:11:45,Male,60-70 years old,High school,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter","Normal phone (Can only call and SMS), Smart phone, Computer",Shopping,8,1,2,2,2,2,1,1,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2
4/1/2025 11:12:30,Male,60-70 years old,High school,Full-time employed,,Live with family,2,3,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter",Normal phone (Can only call and SMS),Reading book,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
4/1/2025 11:13:20,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,3,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter","Normal phone (Can only call and SMS), Smart phone",Meeting friends,7,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
4/1/2025 11:14:18,Male,60-70 years old,Primary school,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Twitter, LinkedIn",Normal phone (Can only call and SMS),Meeting friends,5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/1/2025 11:15:08,Male,60-70 years old,High school,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter","Normal phone (Can only call and SMS), Smart phone",Meeting friends,7,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,1,3,4,1,2,2,2
4/1/2025 11:16:03,Female,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,1,2,"15,001-30,000",India,Yes,"Facebook, Instagram, Twitter","Smart phone, Computer",Planting,6,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4
4/1/2025 11:16:07,Male,60-70 years old,Master's degree,Full-time employed,,Live with family,4 or above,2,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter",Normal phone (Can only call and SMS),Meeting friends,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/1/2025 11:17:53,Male,50-60 years old,High school,Full-time employed,,Live with family,2,3,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter",Smart phone,Traveling,7,4,3,4,4,2,4,4,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5
4/1/2025 11:19:58,Female,60-70 years old,Bachelor's degree,Housewife,,Live with family,2,3,"Less than 15,000",India,Yes,"Facebook, Instagram, Twitter, Snapchat",Smart phone,Shopping,7,3,5,5,5,2,5,5,3,4,4,5,5,4,3,4,3,4,4,4,5,5,5
4/1/2025 11:21:41,Male,60-70 years old,Bachelor's degree,Retired,Govt. Employee ,Live with family,2,2,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter",Smart phone,Planting,9,4,4,3,4,5,5,5,4,4,5,5,4,4,4,5,4,5,5,5,4,5,4
4/1/2025 11:24:16,Male,60-70 years old,Master's degree,Full-time employed,,Live with family,2,0,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Smart phone, Computer",Meeting friends,8,4,5,5,5,5,4,3,4,4,4,5,5,5,3,4,5,5,4,4,3,5,4
4/1/2025 11:27:55,Female,60-70 years old,Lower than primary school,Housewife,,Live with family,3,2,"15,001-30,000",India,Yes,"Facebook, Instagram, Snapchat","Smart phone, Computer",Shopping,1,1,1,2,2,3,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 11:34:08,Female,60-70 years old,Lower than primary school,Housewife,,Live with family,3,2,"30,001-50,000",India,Yes,"Facebook, Instagram, Snapchat","Normal phone (Can only call and SMS), Smart phone",Shopping,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 11:35:00,Male,50-60 years old,High school,Full-time employed,Genral manager ,Live with family,2,1,"30,001-50,000",India,Yes,Instagram,Smart phone,Meeting friends,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,4,4,4,3,5
4/1/2025 17:18:42,Female,40-50 year old,Bachelor's degree,Full-time employed,,Live with family,2,0,"15,001-30,000",India,Yes,"Facebook, Instagram","Smart phone, Computer",Café hopping,2,2,2,2,3,2,4,3,3,3,3,3,4,2,4,2,3,3,3,3,3,4,3
4/2/2025 9:50:00,Male,60-70 years old,High school,Full-time employed,,Live with family,2,2,"30,001-50,000",India,Yes,Facebook,Normal phone (Can only call and SMS),Meeting friends,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/2/2025 18:49:57,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,1,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Computer",Exercising,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/2/2025 19:16:50,Male,60-70 years old,High school,Full-time employed,,Live with family,3,1,"More than 100,000",India,Yes,"Facebook, LinkedIn",Normal phone (Can only call and SMS),Traveling,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:32:09,Female,60-70 years old,Master's degree,Full-time employed,,Live with family,2,2,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Smart phone, Computer",Reading book,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:33:36,Female,60-70 years old,Bachelor's degree,Housewife,,Live with family,2,0,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Smart phone, Tablet, Computer",Planting,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:35:02,Female,50-60 years old,Bachelor's degree,Full-time employed,,Alone,1,0,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Smart phone, Tablet, Computer",Exercising,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:36:23,Male,60-70 years old,Bachelor's degree,Retired,Office clerk,Live with family,2,1,"15,001-30,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn",Smart phone,Planting,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:37:40,Male,50-60 years old,Master's degree,Full-time employed,,Live with family,1,1,"30,001-50,000",India,Yes,"Facebook, Twitter",Smart phone,Meeting friends,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:39:24,Male,40-50 year old,Bachelor's degree,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Instagram",Smart phone,Café hopping,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:42:30,Male,60-70 years old,Bachelor's degree,Retired,Teacher ,Live with family,2,2,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter",Smart phone,Planting,9,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1
4/4/2025 16:45:15,Female,50-60 years old,High school,Housewife,,Live with family,2,2,"Less than 15,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn",Smart phone,Meeting friends,6,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:47:02,Male,60-70 years old,High school,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Instagram",Normal phone (Can only call and SMS),Reading book,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:47:37,Male,40-50 year old,Bachelor's degree,Full-time employed,,Live with family,2,2,"Less than 15,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat",Smart phone,Café hopping,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:49:41,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone, Computer",Reading book,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:50:46,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,1,"More than 100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Computer",Reading book,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:51:01,Female,40-50 year old,Master's degree,Full-time employed,,Live with family,1,2,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Normal phone (Can only call and SMS), Smart phone, Tablet, Computer",Reading book,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:51:21,Female,60-70 years old,High school,Housewife,,Live with family,2,2,"30,001-50,000",India,Yes,"Facebook, Instagram",Smart phone,Café hopping,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:51:42,Male,60-70 years old,Lower than primary school,Full-time employed,,Live with family,3,1,"More than 100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Computer",Meeting friends,2,1,0,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,1
4/4/2025 16:52:33,Female,50-60 years old,Master's degree,Retired,,Live with family,2,2,"More than 100,000",India,Yes,"Facebook, LinkedIn","Smart phone, Computer",Meeting friends,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:52:33,Male,60-70 years old,High school,Full-time employed,,Live with family,4 or above,3,"More than 100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Computer",Reading book,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
4/4/2025 16:53:13,Male,40-50 year old,Bachelor's degree,Part-time employed,,Live with family,1,0,"15,001-30,000",India,Yes,"Facebook, Instagram, Twitter",Smart phone,Reading book,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:53:31,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,4 or above,3,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone, Computer",Café hopping,3,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:54:21,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,4 or above,3,"More than 100,000",India,Yes,"Facebook, Instagram, Snapchat","Normal phone (Can only call and SMS), Smart phone, Computer",Meeting friends,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
4/4/2025 16:54:26,Female,50-60 years old,Bachelor's degree,Retired,,Alone,1,1,"50,001-100,000",India,Yes,"Facebook, Instagram, LinkedIn","Smart phone, Tablet, Computer",Planting,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:54:56,Female,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,2,1,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter","Smart phone, Computer",Meeting friends,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:55:27,Male,60-70 years old,Bachelor's degree,Retired,Doctor ,Live with family,3,3,"More than 100,000",India,Yes,"Instagram, LinkedIn","Normal phone (Can only call and SMS), Tablet",Café hopping,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:56:31,Male,60-70 years old,Master's degree,Retired,Business ,Live with family,4 or above,2,"More than 100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone",Meeting friends,2,1,0,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1
4/4/2025 16:57:18,Female,60-70 years old,Bachelor's degree,Retired,Govt teacher ,Live with family,2,1,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter","Smart phone, Computer",Café hopping,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:57:20,Male,60-70 years old,Bachelor's degree,Housewife,,Live with family,4 or above,2,"More than 100,000",India,Yes,"Facebook, Instagram, Snapchat","Normal phone (Can only call and SMS), Smart phone, Computer",Café hopping,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:58:16,Male,60-70 years old,High school,Full-time employed,,Live with family,4 or above,3,"More than 100,000",India,Yes,"Facebook, Instagram, LinkedIn","Normal phone (Can only call and SMS), Smart phone, Computer",Planting,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 16:59:13,Male,60-70 years old,High school,Full-time employed,,Live with family,4 or above,2,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone, Tablet",Reading book,2,1,0,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,3,3,3,2
4/4/2025 17:00:13,Male,60-70 years old,Bachelor's degree,Retired,Employee in bhillai steel plant ,Live with family,2,2,"15,001-30,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Smart phone, Computer",Planting,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 17:03:15,Male,60-70 years old,High school,Full-time employed,,Live with family,3,3,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter","Normal phone (Can only call and SMS), Smart phone",Reading book,2,2,2,3,2,3,2,2,3,2,2,3,2,2,2,3,2,2,2,2,3,2,3
4/4/2025 17:04:26,Male,60-70 years old,Bachelor's degree,Retired,Police ,Live with family,4 or above,3,"More than 100,000",India,Yes,"Facebook, Instagram, LinkedIn","Normal phone (Can only call and SMS), Smart phone, Computer",Reading book,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/4/2025 17:05:38,Male,71 years old and above,Bachelor's degree,Retired,Mining Sardar,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Twitter",Normal phone (Can only call and SMS),Reading book,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/4/2025 17:06:31,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,2,2,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone",Meeting friends,2,1,0,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/4/2025 17:24:37,Male,60-70 years old,Master's degree,Retired,Govt employee ,Live with family,3,4 or above,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn",Smart phone,Meeting friends,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/4/2025 17:33:27,Female,60-70 years old,Bachelor's degree,Retired,Engineer in tcs,Live with family,2,2,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Smart phone, Computer",Reading book,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2025 22:37:56,Male,60-70 years old,Master's degree,Full-time employed,,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone, Computer",Meeting friends,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2
4/5/2025 22:39:35,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,2,3,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone",Traveling,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/5/2025 22:41:24,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,1,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone, Computer",Exercising,3,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,3,2,2,2
4/5/2025 22:42:23,Male,60-70 years old,High school,Full-time employed,,Live with family,3,3,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone",Meeting friends,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/5/2025 22:43:19,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,4 or above,3,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Meeting friends,3,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4/5/2025 22:44:31,Female,60-70 years old,Bachelor's degree,Retired,Gatekeeper ,Live with family,3,3,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone",Meeting friends,3,2,0,2,1,2,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1
4/5/2025 22:45:37,Male,60-70 years old,High school,Part-time employed,,Live with family,3,3,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Traveling,3,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1
4/5/2025 22:47:33,Male,60-70 years old,High school,Part-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,Facebook,Normal phone (Can only call and SMS),Meeting friends,4,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2
4/5/2025 22:49:15,Male,60-70 years old,Bachelor's degree,Full-time employed,Shopkeeper ,Live with family,3,2,"More than 100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Meeting friends,4,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2
4/5/2025 22:50:42,Female,60-70 years old,High school,Housewife,,Live with family,2,1,"Less than 15,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone",Meeting friends,4,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1
4/5/2025 22:52:48,Female,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,3,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Meeting friends,4,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2
4/5/2025 22:53:41,Male,60-70 years old,Bachelor's degree,Retired,Govt. Teacher ,Live with family,4 or above,2,"15,001-30,000",India,Yes,"Facebook, Instagram, Twitter",Smart phone,Planting,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2025 22:55:16,Female,60-70 years old,Master's degree,Retired,Primary School teacher ,Live with family,1,1,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Smart phone, Computer",Traveling,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2025 22:56:44,Female,50-60 years old,High school,Housewife,,Live with family,3,1,"Less than 15,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Shopping,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/5/2025 22:57:01,Female,60-70 years old,Master's degree,Retired,Accountant ,Live with family,2,2,"50,001-100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Smart phone, Computer",Meeting friends,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2025 22:57:43,Female,60-70 years old,High school,Housewife,,Live with family,3,2,"More than 100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Shopping,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/5/2025 22:58:33,Male,60-70 years old,Master's degree,Retired,School teacher ,Live with family,2,2,"30,001-50,000",India,Yes,"Facebook, Instagram","Smart phone, Laptop ",Exercising,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2025 22:58:35,Female,50-60 years old,High school,Housewife,,Live with family,3,2,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Shopping,7,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
4/5/2025 23:01:13,Male,60-70 years old,Master's degree,Retired,School teacher ,Live with family,2,2,"30,001-50,000",India,Yes,"Facebook, Instagram",Smart phone,Meeting friends,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2025 23:01:29,Female,60-70 years old,High school,Retired,,Live with family,3,3,"50,001-100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone, Computer",Shopping,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4/5/2025 23:02:50,Female,60-70 years old,Bachelor's degree,Housewife,,Live with family,2,1,"Less than 15,000",India,Yes,"Facebook, Instagram, Twitter",Smart phone,Meeting friends,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
4/5/2025 23:05:29,Male,60-70 years old,High school,Retired,Postman ,Live with family,3,1,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Meeting friends,5,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2
4/5/2025 23:06:28,Female,50-60 years old,Primary school,Housewife,,Live with family,4 or above,3,"15,001-30,000",India,Yes,Facebook,Normal phone (Can only call and SMS),Shopping,6,2,3,2,2,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
4/5/2025 23:08:07,Female,50-60 years old,High school,Housewife,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone",Traveling,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2
4/5/2025 23:09:20,Female,60-70 years old,Primary school,Housewife,,Live with family,3,2,"Less than 15,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone, Computer",Shopping,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2025 23:11:32,Female,50-60 years old,High school,Housewife,,Live with family,3,3,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Traveling,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2025 23:12:49,Male,50-60 years old,High school,Full-time employed,,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone",Meeting friends,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/5/2025 23:13:57,Male,60-70 years old,High school,Full-time employed,,Live with family,3,3,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone, Computer",Exercising,6,1,1,1,1,2,1,2,2,3,2,1,2,2,3,3,2,2,3,2,1,2,2
4/5/2025 23:15:23,Female,50-60 years old,High school,Housewife,,Live with family,4 or above,2,"15,001-30,000",India,Yes,"Facebook, Twitter",Normal phone (Can only call and SMS),Traveling,6,3,1,2,2,1,2,1,1,2,3,2,2,1,2,3,1,3,3,2,1,2,2
4/5/2025 23:16:21,Female,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Traveling,6,2,1,2,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,1,3,2
4/5/2025 23:17:17,Male,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,2,0,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Shopping,6,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1
4/5/2025 23:19:50,Female,60-70 years old,High school,Housewife,,Live with family,3,1,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Traveling,5,1,1,1,1,1,1,1,3,3,1,2,1,1,1,1,2,2,2,3,2,1,2
4/5/2025 23:20:39,Male,60-70 years old,High school,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone, Computer",Traveling,6,2,1,3,2,3,2,1,2,1,3,2,1,4,2,2,2,1,2,1,2,1,2
4/5/2025 23:21:56,Male,60-70 years old,Bachelor's degree,Retired,,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone",Meeting friends,6,1,1,1,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,1,3,2
4/5/2025 23:22:50,Female,60-70 years old,High school,Housewife,,Live with family,4 or above,2,"30,001-50,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Shopping,6,2,1,2,1,2,1,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,2
